,Sector,Amount($)
342,HrTech,85860249.91073933
343,Human Resources,450501295.5929672
344,Hygiene,1100000.0
345,Hygiene management,85860249.91073933
346,IT,89810000.0
347,IT company,0.0
348,IT startup,8600000.0
349,Industrial,125833765.19765574
350,Industrial Automation,273667530.3953115
351,Information Services,760702591.1859344
352,Information Technology,1272877651.9765573
353,Information Technology & Services,713950000.0
354,Infratech,20000000.0
355,Innovation Management,1000000000.0
356,Innovation management,500000.0
357,Insurance,692177780.3060508
358,Insurance Tech,1050000.0
359,Insurance technology,91360249.91073933
360,InsureTech,110000000.0
361,Insuretech,252500000.0
362,Insurtech,256060499.82147866
363,Interior & decor,100000.0
364,Interior Design,114000000.0
365,Interior design,31000000.0
366,Internet,1703238947.5695245
367,Internet of Things,377501295.5929672
368,Investment,887000.0
369,Investment Banking,500000.0
370,Investment Management,17000000.0
371,Investment Tech,85860249.91073933
372,IoT,277035499.82147866
373,IoT platform,1000000.0
374,IoT startup,5100000.0
375,IoT/Automobile,293000.0
376,Iot,43470301.3
377,Jewellery,9090000.0
378,Jewellery startup,12500000.0
379,Job discovery platform,140000.0
380,Job portal,126860249.91073933
381,Last Mile Transportation,125833765.19765574
382,Legal,85860249.91073933
383,Legal Services,10000000.0
384,Legal tech,100000.0
385,LegalTech,91460249.91073933
386,Legaltech,500000.0
387,Life sciences,85860249.91073933
388,Lifestyle,17000000.0
389,Linguistic Spiritual,85860249.91073933
390,Location Analytics,86860249.91073933
391,Logistics,1335316045.3251853
392,Logistics & Supply Chain,466470000.0
393,Logitech,26354500.0
394,Luxury car startup,85860249.91073933
395,MLOps platform,1000000.0
396,Machine Learning,85860249.91073933
397,Management Consulting,1500000.0
398,"Manchester, Greater Manchester",75000000.0
399,Manufacturing,420871295.5929672
400,Manufacturing startup,1500000.0
401,MarTech,1000000.0
402,Maritime,1600000.0
403,Market Research,251667530.39531147
404,Marketing,278367530.3953115
405,Marketing & Advertising,12000000.0
406,Marketing & customer loyalty,1000000.0
407,Marketing company,700000.0
408,Marketing startup,600000.0
409,Marketplace,183130765.19765574
410,Matrimony,3000000.0
411,Mechanical & Industrial Engineering,150000000.0
412,Mechanical Or Industrial Engineering,600400000.0
413,Med Tech,229800.0
414,Media,933578999.6429573
415,Media & Networking,3000000.0
416,Media Tech,400000.0
417,Media and Entertainment,251667530.39531147
418,Medical,251667530.39531147
419,Medical Device,125833765.19765574
420,Medtech,93760249.91073933
421,Mental Health,85860249.91073933
422,Merchandise,300000.0
423,Micro-mobiity,3964000.0
424,Milk startup,100000.0
425,Mobile,377501295.5929672
426,Mobile Games,1100000.0
427,Mobile Payments,251667530.39531147
428,Mobility,643840000.0
429,Mobility tech,85860249.91073933
430,Mobility/Transport,3300000.0
431,Multinational conglomerate company,2200000000.0
432,Music,129583765.19765574
433,Music Streaming,125833765.19765574
434,Mutual funds,600000.0
435,NFT,4000000.0
436,NFT Marketplace,0.0
437,Nano Distribution Network,5660000.0
438,Nanotechnology,127833765.19765574
439,Neo-banking,85860249.91073933
440,Networking,620000.0
441,Networking platform,85860249.91073933
442,News,125833765.19765574
443,Nutrition,91860249.91073933
444,Nutrition Tech,85860249.91073933
445,Nutrition sector,500000.0
446,Nutrition tech,133000.0
447,OTT,22000000.0
448,Oil & Energy,100000.0
449,Oil and Energy,1000000.0
450,Online Games,125833765.19765574
451,Online Media,6850000.0
452,Online Portals,125833765.19765574
453,Online credit management startup,803146.0
454,Online financial service,9000000.0
455,Online storytelling,48000000.0
456,PaaS startup,2000000.0
457,Packaging Services,125833765.19765574
458,Packaging solution startup,85860249.91073933
459,Personal Care,6000000.0
460,Personal care startup,2900000.0
461,Pet care,39600000.0
462,Pharma,85860249.91073933
463,Pharmaceutical,116860249.91073933
464,Pharmaceuticals,22000000.0
465,Pharmacy,1400000.0
466,Photonics startup,85860249.91073933
467,Podcast,0.0
468,Pollution control equiptment,1000000.0
469,Power,5000000.0
470,Preschool Daycare,507000.0
471,Product studio,10000000.0
472,Professional Training & Coaching,9200000.0
473,Proptech,92860249.91073933
474,Publication,173120499.82147866
475,QSR startup,2000000.0
476,Reading Apps,125833765.19765574
477,Real Estate,203227577.91073933
478,Real estate,350000.0
479,Reatil startup,85860249.91073933
480,Recruitment,117600000.0
481,Recruitment startup,86860249.91073933
482,Renewable Energy,198333765.19765574
483,Renewable player,390000000.0
484,Renewables & Environment,7000000.0
485,Rental,261573530.39531147
486,Rental space,6500000.0
487,Retail,70756367530.39531
488,Retail Aggregator,85860249.91073933
489,Retail Tech,8000000.0
490,Retail startup,900000.0
491,Robotics,91860249.91073933
492,Robotics & ai,230000000.0
493,SaaS,1096156191.6051753
494,SaaS platform,103050000.0
495,SaaS startup,651665999.6429573
496,SaaS/Edtech,323000.0
497,SaaS  startup,85860249.91073933
498,Saas,68330301.3
499,Safety tech,43330301.3
500,Sales & Services,19000000.0
501,Sales and Distribution,1000000.0
502,Sanitation solutions,19000000.0
503,Scanning app,575000.0
504,Search Engine,125833765.19765574
505,Service industry,23000000.0
506,Skill development,1000000.0
507,Skincare startup,85860249.91073933
508,Sles and marketing,4200000.0
509,Smart Cities,125833765.19765574
510,Sochcast is an Audio experiences company that give the listener and creators an Immersive Audio experience,0.0
511,Social Commerce,93860249.91073933
512,Social Media,870554265.0191344
513,Social Network,85860249.91073933
514,Social audio,3000000.0
515,Social commerce,727050000.0
516,Social community,3200000.0
517,Social e-commerce,104760249.91073933
518,Social media,308000000.0
519,Social network,64000000.0
520,Social platform,800000.0
521,Software,631308825.9882786
522,Software Company,25000000.0
523,Software Startup,155000000.0
524,Software company,15200000.0
525,Soil-Tech,1000000.0
526,Solar,131400000.0
527,Solar Monitoring Company,85860249.91073933
528,Solar SaaS,5000000.0
529,Solar Solution,15000000.0
530,Solar solution,16000000.0
531,SpaceTech,25800000.0
532,Spacetech,99008249.91073933
533,Spiritual,4000000.0
534,Sports,1222858081.6060507
535,Sports startup,50400000.0
536,SportsTech,4500000.0
537,Staffing & Recruiting,3000000.0
538,Startup laboratory,85860249.91073933
539,Supply chain platform,3000000.0
540,"Supply chain, Agritech",5900000.0
541,TaaS startup,250000.0
542,Taxation,280000.0
543,Tech,880345399.464436
544,Tech Startup,664913749.732218
545,Tech company,3194420499.821479
546,Tech hub,85860249.91073933
547,Tech platform,10000000.0
548,Tech startup,28400000.0
549,Technology,191290551.2107393
550,Techonology,11000000.0
551,Telecommuncation,21000000.0
552,Telecommunication,100000000.0
553,Telecommunications,40000000.0
554,Textiles,2570000.0
555,Tobacco,3500000.0
556,Tourism,378501295.5929672
557,Tourism & EV,85860249.91073933
558,Trading Platform,125833765.19765574
559,Trading platform,2200000.0
560,Training,125833765.19765574
561,Translation & Localization,600000.0
562,Transport,103078949.91073933
563,Transport & Rentals,30000000.0
564,Transport & rentals,4800000.0
565,Transport Automation,39000000.0
566,Transportation,625817530.3953115
567,Travel,441701295.5929672
568,Travel & SaaS,13000000.0
569,Travel tech,85860249.91073933
570,TravelTech,171720499.82147866
571,Tyre management,85860249.91073933
572,VR & SaaS,1397000.0
573,Vehicle repair startup,1000000.0
574,Venture Capital,225000000.0
575,Venture Capital & Private Equity,65000000.0
576,Venture capital,185860249.91073933
577,Venture capitalist,279860249.9107393
578,Veterinary,131333765.19765574
579,Video,15000000.0
580,Video communication,3000000.0
581,Video personalization,4000000.0
582,Video platform,85860249.91073933
583,Video sharing platform,400000.0
584,Video streaming platform,85860249.91073933
585,Virtual auditing startup,120000.0
586,Virtual banking,2100000.0
587,Visual Media,2500000.0
588,WL & RAC protection,900000.0
589,Warehouse,54000.0
590,Water purification,1600000.0
591,Wealth Management,125833765.19765574
592,Wedding,125833765.19765574
593,Wellness,125833765.19765574
594,Wholesale,3500000.0
595,Wine & Spirits,10400000.0
596,Work fulfillment,500000.0
597,Yoga & wellness,174520499.82147866
598,eMobility,1000000.0
599,eSports,125833765.19765574
600,sports,128233765.19765574
601,—,3775012955.9296722
