,Company/Brand,Amount($),Year of Funding
2084,Wishfie,125833765.19765574,2018
908,IndiQube,125833765.19765574,2018
2072,Wicked Ride Adventure Services Private Limited,125833765.19765574,2018
1039,Kuants,125833765.19765574,2018
1044,Kuvera.in,125833765.19765574,2018
1050,LT Foods,125833765.19765574,2018
1055,Lavelle Networks,125833765.19765574,2018
1063,LearnApp,125833765.19765574,2018
2074,Wide Mobility Mechatronics,125833765.19765574,2018
1072,Lendbox,125833765.19765574,2018
1078,LetsMD,125833765.19765574,2018
2077,Wimoxez,125833765.19765574,2018
1081,Letstrack,125833765.19765574,2018
2070,Wholesome Habits (EAT Anytime),125833765.19765574,2018
1092,LivQuik,125833765.19765574,2018
1094,Livehealth,125833765.19765574,2018
2067,WheelsEMI,125833765.19765574,2018
1099,Loadshare,125833765.19765574,2018
1101,Loans4SME,125833765.19765574,2018
1034,Kriger Campus,125833765.19765574,2018
1021,Kogta Financial India Limited,125833765.19765574,2018
909,India Accelerator,125833765.19765574,2018
939,Inntot Technologies,125833765.19765574,2018
912,Indiabulls Ventures,125833765.19765574,2018
916,IndigoLearn,125833765.19765574,2018
2096,Workflexi,125833765.19765574,2018
932,Inner Being Wellness,125833765.19765574,2018
933,InnerChef,125833765.19765574,2018
2085,Wishup,125833765.19765574,2018
936,Innov8 Coworking,125833765.19765574,2018
841,HelloVerify,125833765.19765574,2018
1019,Kobster,125833765.19765574,2018
953,Inthree Access,125833765.19765574,2018
961,Jagaran Microfin,125833765.19765574,2018
968,Jetbrain Robotics,125833765.19765574,2018
2083,Wishberry,125833765.19765574,2018
1003,Khidki,125833765.19765574,2018
1004,Kidovators (by GyanLab),125833765.19765574,2018
1012,Kissht,125833765.19765574,2018
844,Hero Electric,125833765.19765574,2018
1777,Streak,125833765.19765574,2018
840,Heelium,125833765.19765574,2018
640,FeedMyPockets,125833765.19765574,2018
2176,edureka!,125833765.19765574,2018
609,FLEECA,125833765.19765574,2018
619,Faclon Labs,125833765.19765574,2018
2172,docturnal,125833765.19765574,2018
632,FarmTaaza,125833765.19765574,2018
634,FarmersFZ,125833765.19765574,2018
638,FastFox,125833765.19765574,2018
2171,dishq,125833765.19765574,2018
646,Fincash.com,125833765.19765574,2018
686,Flock,125833765.19765574,2018
655,Finwego,125833765.19765574,2018
656,Finzy,125833765.19765574,2018
2167,arzooo.com,125833765.19765574,2018
665,Fitternity,125833765.19765574,2018
2166,artbandhu,125833765.19765574,2018
669,Fixpocket,125833765.19765574,2018
671,Flathalt,125833765.19765574,2018
2165,alphaics Corporation,125833765.19765574,2018
2181,hoi foods,125833765.19765574,2018
2182,i2ifunding,125833765.19765574,2018
593,EventBeep,125833765.19765574,2021
576,Entropik Technology,125833765.19765574,2018
2210,srJna,125833765.19765574,2018
518,Duroflex Pvt. Ltd.,125833765.19765574,2018
525,EGK Foods,125833765.19765574,2018
527,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,125833765.19765574,2018
529,ERUDITUS Executive Education,125833765.19765574,2018
534,Earth Food,125833765.19765574,2018
2206,myUpchar,125833765.19765574,2018
2205,myHQ,125833765.19765574,2018
549,Edyoo,125833765.19765574,2018
2202,mfine,125833765.19765574,2018
553,Ekincare,125833765.19765574,2018
2185,iChamp,125833765.19765574,2018
558,Elemential,125833765.19765574,2018
563,Em Personal Care,125833765.19765574,2018
565,Emflux Motors,125833765.19765574,2018
566,Emojifi,125833765.19765574,2018
567,Enakshi,125833765.19765574,2018
2163,Zyla Health,125833765.19765574,2018
687,Flyrobe,125833765.19765574,2018
839,Healthkart,125833765.19765574,2018
816,Hansel.io,125833765.19765574,2018
773,Goals101,125833765.19765574,2018
2123,YourOwnROOM,125833765.19765574,2018
798,Guardian.in,125833765.19765574,2018
800,Gugu,125833765.19765574,2018
801,Guiddoo World,125833765.19765574,2018
1102,Loanzen,125833765.19765574,2018
808,Haazri,125833765.19765574,2018
815,HalaPlay Technologies,125833765.19765574,2018
817,Happy Cow Dairy,125833765.19765574,2018
689,Food Memories,125833765.19765574,2018
820,HappyEMI,125833765.19765574,2018
823,Happyeasygo Group,125833765.19765574,2018
830,Hashtag Loyalty Private Limited,125833765.19765574,2018
2113,Yaantra,125833765.19765574,2018
834,HealWell24,125833765.19765574,2018
836,HealthAssure,125833765.19765574,2018
2106,Xplorabox,125833765.19765574,2018
2099,Wow Venue,125833765.19765574,2018
772,GoZefo,125833765.19765574,2018
767,GoGaga,125833765.19765574,2018
766,GoBumpr,125833765.19765574,2018
2129,ZAMROO,125833765.19765574,2018
690,FoodBuddy,125833765.19765574,2018
694,Forum for Innovation Incubation Research and Entrepreneurship,125833765.19765574,2018
698,Foyr,125833765.19765574,2018
701,FreightBazaar,125833765.19765574,2018
702,FreightBro,125833765.19765574,2018
706,Freshboxx,125833765.19765574,2018
710,Fric Bergen,125833765.19765574,2018
719,Fusion Microfinance,125833765.19765574,2018
720,Fyle,125833765.19765574,2018
731,Gaia Smart Cities,125833765.19765574,2018
737,GamingMonk,125833765.19765574,2018
738,Gegadyne Energy,125833765.19765574,2018
739,GenRobotic,125833765.19765574,2018
2149,Zoctr Health,125833765.19765574,2018
2143,ZiffyHomes,125833765.19765574,2018
2140,Zestl,125833765.19765574,2018
763,Go Payments,125833765.19765574,2018
805,GuruQ,125833765.19765574,2018
1151,Mech Mocha,125833765.19765574,2018
1108,Locus.sh,125833765.19765574,2018
1114,Lucideus,125833765.19765574,2018
1526,RAHI Care,125833765.19765574,2018
1531,Racetrack,125833765.19765574,2018
1540,Rays Power Infra,125833765.19765574,2018
1913,Tricog Health Services Pvt Ltd,125833765.19765574,2018
1909,Trendlyne Technologies,125833765.19765574,2018
1549,Reculta,125833765.19765574,2018
1905,Traveo Soft Pvt. Ltd.,125833765.19765574,2018
1903,Tranzmeo,125833765.19765574,2018
1894,Tolet for Students,125833765.19765574,2018
1893,Togedr,125833765.19765574,2018
1891,Toffee,125833765.19765574,2018
1564,RevFin,125833765.19765574,4039
1572,Roadcast,125833765.19765574,2018
1575,Rocketium,125833765.19765574,2018
1576,Rockmetric,125833765.19765574,2018
1579,Roposo,125833765.19765574,2018
1581,Royal Sundaram General Insurance Co. Limited,125833765.19765574,2018
1878,Theranosis Life Sciences,125833765.19765574,2018
1584,Rubix108 Technologies,125833765.19765574,2018
1916,Tripeur,125833765.19765574,2018
1518,Quikr,125833765.19765574,2018
1507,Qbera,125833765.19765574,2018
1929,Try & Buy,125833765.19765574,2018
1435,Planet11 eCommerce Solutions India (Avenue11),125833765.19765574,2018
1438,Planys Technologies,125833765.19765574,2018
1443,Playtoome,125833765.19765574,2018
1447,Plum Goodness,125833765.19765574,2018
1456,Pooltoo,125833765.19765574,2018
1935,Twenty Two Motors,125833765.19765574,2018
1457,Portea Medical,125833765.19765574,2018
1459,Poshmiles Online Solutions Private Limited,125833765.19765574,2018
1928,TrustCheckr,125833765.19765574,2018
1505,Qandle,125833765.19765574,2018
1923,Truebil,125833765.19765574,2018
1469,Predible Health,125833765.19765574,2018
1471,PregBuddy,125833765.19765574,2018
1475,PrestLoans,125833765.19765574,2018
1476,Printline Media(ThePrint),125833765.19765574,2018
1491,Propelld,125833765.19765574,2018
1492,Propshop24,125833765.19765574,2018
1917,Tripshelf,125833765.19765574,2018
1587,RupeeCircle,125833765.19765574,2018
1871,The Souled Store,125833765.19765574,2018
1598,SBI Life,125833765.19765574,2018
1792,Sukkhi Jewellery,125833765.19765574,2018
1829,Tabono,125833765.19765574,2018
1824,TECHBOOZE,125833765.19765574,2018
1703,Sleepy Owl Coffee,125833765.19765574,2018
1821,Syncremedies Healthcare Pvt Ltd,125833765.19765574,2018
1706,SlicePay,125833765.19765574,2018
1718,Smartcoin,125833765.19765574,2018
1725,Snapmint,125833765.19765574,2018
1811,Survaider,125833765.19765574,2018
1744,Spoofin,125833765.19765574,2018
1686,Simulanis,125833765.19765574,2018
1784,Stumagz,125833765.19765574,2018
1749,Sports Flashes Pvt. Ltd,125833765.19765574,2018
1755,Sqrrl Fintech,125833765.19765574,2018
1757,Square Off,125833765.19765574,2018
1782,Studds Accessories,125833765.19765574,2018
1781,Strom Motors,125833765.19765574,2018
1778,Streo,125833765.19765574,2018
1771,StockEdge,125833765.19765574,2018
1688,Singularity Dynamics,125833765.19765574,2018
1681,Silversparro Technologies Pvt. Ltd,125833765.19765574,2018
1599,SEDEMAC Mechatronics,125833765.19765574,2018
1645,Scholify,125833765.19765574,2018
1615,SaffronStays,125833765.19765574,2018
1870,The Social Hook,125833765.19765574,2018
1634,Satin Creditcare Network Limited (SCNL),125833765.19765574,2018
1635,Sattviko,125833765.19765574,2018
1636,Satvacart,125833765.19765574,2018
1637,Satya MicroCapital,125833765.19765574,2018
1642,Scale Labs,125833765.19765574,2018
1643,Scapic,125833765.19765574,2018
1648,SectorQube,125833765.19765574,2018
1675,Shopkirana,125833765.19765574,2018
1653,Sensibull,125833765.19765574,2018
1654,Sequretek,125833765.19765574,2018
1866,The Ken,125833765.19765574,2018
1850,Technology 9 Labs (T9L),125833765.19765574,2018
1661,ShakeDeal,125833765.19765574,2018
1662,Shape (School Health and Physical Education),125833765.19765574,2018
1839,Taru Naturals,125833765.19765574,2018
1669,Shirsa Labs,125833765.19765574,2018
1434,Placio,125833765.19765574,2018
1431,Pixr8,125833765.19765574,2018
1430,PivotRoots,125833765.19765574,2018
1231,MyDentistChoice,125833765.19765574,2018
1198,MissMalini Entertainment,125833765.19765574,2018
1208,Mobycy,125833765.19765574,2018
1209,Moglix,125833765.19765574,2018
2029,Vogo Rentals,125833765.19765574,2018
1211,Mojro Technologies,125833765.19765574,2018
1212,Mombay,125833765.19765574,2018
1219,Moonshine Meadery,125833765.19765574,2018
1224,Multibashi,125833765.19765574,2018
1235,MyLoanCare,125833765.19765574,2018
1186,Mihuru,125833765.19765574,2018
1237,MyNewCar.in,125833765.19765574,2018
2027,Vizzbee,125833765.19765574,2018
1238,MySEODoc,125833765.19765574,2018
1242,Myra,125833765.19765574,2018
1248,NIRAMAI Health Analytix,125833765.19765574,2018
1252,Naaptol,125833765.19765574,2018
1269,Netmeds,125833765.19765574,2018
2025,Vivish Technologies (myGate),125833765.19765574,2018
1196,Mintifi,125833765.19765574,2018
1184,Microchip Payments,125833765.19765574,2018
1280,NiYO Solutions,125833765.19765574,2018
1145,Mate Labs,125833765.19765574,2018
1119,MCaffeine,125833765.19765574,2018
1120,MEngage,125833765.19765574,2018
2064,Wellthy Therapeutics Pvt Ltd,125833765.19765574,2018
1125,MY CHIRAAG CAB,125833765.19765574,2018
1130,MadGuy Labs,125833765.19765574,2018
1132,Magic Crate,125833765.19765574,2018
2059,Wedeterna,125833765.19765574,2018
1138,Manjushree Technopack,125833765.19765574,2018
2058,Wealthtrust,125833765.19765574,2018
2032,Vokal,125833765.19765574,2018
1150,McXtra,125833765.19765574,2018
1773,Stones2Milestones,125833765.19765574,2018
1153,Med365 Healthcare,125833765.19765574,2018
1154,MedCords,125833765.19765574,2018
2044,WalMart India,125833765.19765574,2018
2039,WOTU,125833765.19765574,2018
1165,Medimetry,125833765.19765574,2018
2037,WHR,125833765.19765574,2018
1279,Next Digital Solutions,125833765.19765574,2018
1281,NicheAI,125833765.19765574,2018
1428,Pipa+Bella,125833765.19765574,2018
1384,Paymatrix,125833765.19765574,2018
1352,Orbo.ai,125833765.19765574,2018
1966,UpCyclersLab,125833765.19765574,2018
1961,UnoTag,125833765.19765574,2018
1367,PaisaDukan,125833765.19765574,2018
1958,University Living,125833765.19765574,2018
1371,Pandorum Technologies,125833765.19765574,2018
1378,Parkwheels,125833765.19765574,2018
1383,PayMe India,125833765.19765574,2018
1398,Pentation Analytics,125833765.19765574,2018
1346,Ontrack Technologies Pvt. Ltd,125833765.19765574,2018
1404,PerkFinance,125833765.19765574,2018
1405,Perpule,125833765.19765574,2018
1406,Perspectico,125833765.19765574,2018
1409,PetSutra,125833765.19765574,2018
1947,Ummeed Housing Finance Private Limited,125833765.19765574,2018
1422,Picture TIme,125833765.19765574,2018
1938,UClean,125833765.19765574,2018
1427,PinkBlue,125833765.19765574,2018
1351,Ora,125833765.19765574,2018
1338,OneAssist,125833765.19765574,2018
2021,Vistara,125833765.19765574,2018
1307,Nutrisattva (Proliva),125833765.19765574,2018
2017,Virtual MetalStreet(MetalStreet),125833765.19765574,2018
2008,Verzeo,125833765.19765574,2018
1296,NoPaperForms Solutions Pvt. Ltd.,125833765.19765574,2018
2005,Verloop,125833765.19765574,2018
2004,Veritas Finance,125833765.19765574,2018
1994,Vebbler,125833765.19765574,2018
1299,Notesgen,125833765.19765574,2018
1305,Nua,125833765.19765574,2018
1988,Vahdam Teas,125833765.19765574,2018
513,Drstore,125833765.19765574,2018
1312,ONGO Framework,125833765.19765574,2018
1313,OPEN,125833765.19765574,2018
1315,ORO Wealth,125833765.19765574,2018
1983,VTION,125833765.19765574,2018
1977,UrbanPiper,125833765.19765574,2018
1974,UrbanClap,125833765.19765574,2018
1973,Urban Ladder,125833765.19765574,2018
1971,Upwards Fintech,125833765.19765574,2018
1334,Olly Smart Credit Card,125833765.19765574,2018
0,&ME,125833765.19765574,2018
480,DheeYantra Research Labs,125833765.19765574,2018
249,Bounce (Metro Bikes),125833765.19765574,2018
105,Arogya MedTech,125833765.19765574,2018
28,Aashiyaan Housing and Development Finance,125833765.19765574,2018
51,Agricxlab Private Limited,125833765.19765574,2018
424,CropIn Technologies,125833765.19765574,2018
27,Aarav Unmanned Systems,125833765.19765574,2018
246,Boodmo,125833765.19765574,2018
216,BizCrum Infotech Pvt. Ltd.,125833765.19765574,2018
467,Dee Dee Labs,125833765.19765574,2018
312,Cellerite Systems,125833765.19765574,2018
116,Asset Reconstruction Company (India) Ltd.,125833765.19765574,2018
23,APAC Financial Services,125833765.19765574,2018
471,Deftouch,125833765.19765574,2018
174,Be U Salons,125833765.19765574,2018
357,Cloudnine Hospitals,125833765.19765574,2018
491,DocPrime,125833765.19765574,2018
317,Chakr Innovation,125833765.19765574,2018
356,CloudSek,125833765.19765574,2018
93,AppWharf,125833765.19765574,2018
458,DataTrained,125833765.19765574,2018
428,Cube,125833765.19765574,2018
230,BlueJack,125833765.19765574,2018
350,Cleardekho,125833765.19765574,2018
29,Aavas Financiers,125833765.19765574,2018
245,Bonphul Air Products,125833765.19765574,2018
325,Chezuba,125833765.19765574,2018
296,Cardekho,125833765.19765574,2018
232,Blueleaf Cyberspace Systems,125833765.19765574,2018
161,BUGWORKS Research India,125833765.19765574,2018
301,Carmesi,125833765.19765574,2018
417,Credy,125833765.19765574,2018
300,Carmel Organics,125833765.19765574,2018
419,Cricnwin,125833765.19765574,2018
109,Articbot,125833765.19765574,2018
306,CashRich,125833765.19765574,2018
158,BIGPHI TECHNOLOGIES PVT. LTD.,125833765.19765574,2018
297,Career Anna,125833765.19765574,2018
414,Creditas Solutions,125833765.19765574,2018
165,Backpacker Panda Holidays Private Limited,125833765.19765574,2018
483,DigiConnectt Technologys,125833765.19765574,2018
38,Adiuvo Diagnostics,125833765.19765574,2018
48,AgNext Technologies,125833765.19765574,2018
36,Acko General Insurance,125833765.19765574,2018
295,Carcrew,125833765.19765574,2018
154,Azure Power,125833765.19765574,2018
164,BabyChakra,125833765.19765574,2018
244,Bon(Bonfleet Solutions),125833765.19765574,2018
368,Cogoport,125833765.19765574,2018
309,Cashkumar,125833765.19765574,2018
204,Billdesk,125833765.19765574,2018
323,Chariot Tech,125833765.19765574,2018
454,Dainik Jagran,125833765.19765574,2018
507,Drivezy,125833765.19765574,2018
349,ClearTax,125833765.19765574,2018
495,Doodhwala,125833765.19765574,2018
140,Aviom India Housing Finance,125833765.19765574,2018
391,Corefactors,125833765.19765574,2018
445,DRIVEU,125833765.19765574,2018
126,AuthMetrik,125833765.19765574,2018
136,Avenues Payments India Pvt. Ltd.,125833765.19765574,2018
269,BuyForexOnline,125833765.19765574,2018
192,BhaskarGuru,125833765.19765574,2018
382,Connect India,125833765.19765574,2018
508,DronaHQ,125833765.19765574,2018
376,CollPoll,125833765.19765574,2018
261,Buddy4Study.com,125833765.19765574,2018
185,BetterPlace Safety Solutions Pvt. Ltd.,125833765.19765574,2018
265,BuildSupply,125833765.19765574,2018
346,CleanseCar,125833765.19765574,2018
2,1Crowd,125833765.19765574,2018
442,Cyclops Medtech,125833765.19765574,2018
509,Droni Tech,125833765.19765574,2018
72,Ambee,125833765.19765574,2018
511,Droom Technology Private Limited,125833765.19765574,2018
345,Classworks India,125833765.19765574,2018
65,Aldopay,125833765.19765574,2018
338,CivilCops,125833765.19765574,2018
85,Antariksh Waste Ventures Pvt ltd,125833765.19765574,2018
500,Doxper,125833765.19765574,2018
180,Belstar Investment and Finance Private Limited,125833765.19765574,2018
181,Benepik,125833765.19765574,2018
16,9stacks,125833765.19765574,2018
453,Dailyhunt,125833765.19765574,2018
452,DailyNinja,125833765.19765574,2018
88,Any time Doctor,125833765.19765574,2018
372,CoinGeto,125833765.19765574,2018
278,CLP India Pvt. Ltd.,125833765.19765574,2018
143,Awaaz De,125833765.19765574,2018
333,Chtrbox,125833765.19765574,2018
330,Chizel,125833765.19765574,2018
303,Cash Suvidha,125833765.19765574,2018
375,Colive.in,125833765.19765574,2018
448,Daaki,125833765.19765574,2018
332,Chrysalis (EZ Vidya),125833765.19765574,2018
142,Avishkaar Box,125833765.19765574,2018
400,Creator’s Gurukul,125833765.19765574,2018
976,Jumbotail,125300000.0,10103
851,HighRadius,125000000.0,2020
2194,infra.market,125000000.0,2021
251,Box8,124000000.0,4039
444,DMI Group,123000000.0,2020
1939,Uable,120860249.91073933,6062
1458,Porter,118370000.0,4041
106,Arrival,118000000.0,2020
433,CureFit,115000000.0,2020
2169,boAt,106000000.0,4042
1699,Skylo,103000000.0,2020
1981,VMate,100000000.0,2019
2062,Wellness Forever,100000000.0,2020
1191,MindTickle,100000000.0,2020
135,Avataar Ventures,100000000.0,2021
7,3one4 Capital,100000000.0,2020
941,Inshorts,100000000.0,4042
2108,Xpressbees,100000000.0,2020
1989,Vakilsearch,95860249.91073933,4041
1536,Rapido,95000000.0,4042
946,Instoried,94860249.91073933,8082
113,Arzooo,93360249.91073933,4040
190,BharatAgri,92360249.91073933,4041
416,Credr,91860249.91073933,4039
1589,Rupifi,90960249.91073933,6062
1532,Rage Coffee,90860249.91073933,6062
1985,Vahak,90860249.91073933,4041
1340,OneCode,90860249.91073933,4041
937,Innoviti,90860249.91073933,4040
751,GetVantage,90860249.91073933,4040
1570,Riskcovry,90860249.91073933,4041
289,Capital Float,90800000.0,10102
403,CredAvenue,90000000.0,2021
2147,Zinier,90000000.0,2020
1347,Open Financial Technologies,90000000.0,2021
505,DrinkPrime,89739249.91073933,6061
1375,Pariksha,89660249.91073933,6062
1473,Prescinto,89360249.91073933,4041
794,Grip Invest,88860249.91073933,4041
1817,Swiflearn,88860249.91073933,4041
784,Gourmet Garden,88860249.91073933,4041
383,ConnectedH,88160249.91073933,4041
2080,Winuall,87860249.91073933,4040
2014,VilCart,87860249.91073933,4041
1867,The Money Club,87560249.91073933,4041
2144,Zimyo,87360249.91073933,4040
625,FanPlay,87060249.91073933,4041
1239,Myelin Foundry,86860249.91073933,4041
1875,The ePlane,86860249.91073933,4041
1402,Peppermint,86460249.91073933,4041
1250,NOTO,86360249.91073933,4041
1656,Settl,86360249.91073933,4041
1013,Kitchens Centre,86360249.91073933,4040
264,BuildPan,86360249.91073933,4040
1831,TagZ Foods,86360249.91073933,4041
1538,Rare Planet,86260249.91073933,4040
735,Gamerji,86260249.91073933,4040
1548,Recordent,86260249.91073933,4041
1059,Leap Club,86200249.91073933,4040
