,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does
0,125833765.19765574,2018,2015,TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
1,125833765.19765574,2018,2015,Happy Cow Dairy,Agriculture,Seed,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.
2,125833765.19765574,2018,2015,MyLoanCare,Credit,Series A,Gurgaon,Leading Online Loans Marketplace in India
3,125833765.19765574,2018,2015,PayMe India,Financial Services,Angel,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.
4,125833765.19765574,2018,2015,Eunimart,E-Commerce Platforms,Seed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.
5,125833765.19765574,2018,2015,Hasura,Cloud Infrastructure,Seed,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly."
6,125833765.19765574,2018,2015,Tripshelf,Internet,Seed,Kalkaji,Tripshelf is an online market place for holiday packages.
7,125833765.19765574,2018,2015,Hyperdata.IO,Market Research,Angel,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.
8,125833765.19765574,2018,2015,Freightwalla,Information Services,Seed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.
9,125833765.19765574,2018,2015,Microchip Payments,Mobile Payments,Seed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device
10,125833765.19765574,2018,2015,BizCrum Infotech Pvt. Ltd.,B2B,Seed,Delhi,Building Transactionary B2B Marketplaces
11,125833765.19765574,2018,2015,Emojifi,Internet,Seed,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms."
12,125833765.19765574,2018,2015,Flock,Apps,Seed,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.
13,125833765.19765574,2018,2015,Freshboxx,Food Delivery,Seed,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation."
14,125833765.19765574,2018,2015,Wide Mobility Mechatronics,Industrial Automation,Seed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares
15,125833765.19765574,2018,2015,Pitstop,Automotive,Seed,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.
16,125833765.19765574,2018,2015,Mihuru,Finance,Seed,Mumbai,Mihuru is an online platform which gives micro loans for air travel .
17,125833765.19765574,2018,2015,Fyle,Accounting,Seed,Bengaluru,Fyle is an intelligent expense management platform for enterprises.
18,125833765.19765574,2018,2015,AppWharf,Artificial Intelligence,Seed,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.
19,125833765.19765574,2018,2015,Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,Chennai,Waste Management for Smart Cities
20,125833765.19765574,2018,2015,Cogoport,Air Transportation,Series A,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.
21,125833765.19765574,2018,2015,PaisaDukan,Financial Services,Seed,Mumbai,A P2P lending marketplace platform
22,125833765.19765574,2018,2015,Sleepy Owl Coffee,Food and Beverage,Seed,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door."
23,125833765.19765574,2018,2015,BlueJack,Autonomous Vehicles,Seed,Delhi,Delhi-based online used vehicles marketplace.
24,125833765.19765574,2018,2015,PregBuddy,Enterprise Software,Seed,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.
25,125833765.19765574,2018,2015,AgNext Technologies,Agriculture,Series A,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders
26,125833765.19765574,2018,2015,Pando,Logistics,Seed,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.
27,125833765.19765574,2018,2015,Mintifi,Financial Services,Seed,Mumbai,Online lending startup based in Mumbai.
28,125833765.19765574,2018,2015,Carcrew,Automotive,Seed,Mumbai,India's Online Auto Repair Marketplace
29,125833765.19765574,2018,2015,NicheAI,Artificial Intelligence,Angel,Hyderabad,Early stage Artificial Intelligence (AI) start up.
30,125833765.19765574,2018,2015,Chariot Tech,Internet of Things,Seed,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.
31,125833765.19765574,2018,2015,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.
32,125833765.19765574,2018,2015,Loanzen,Financial Services,Seed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.
33,125833765.19765574,2018,2015,Mojro Technologies,Information Technology,Seed,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.
34,125833765.19765574,2018,2015,Elemential,Blockchain,Seed,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks."
35,125833765.19765574,2018,2015,Loadshare,Industrial Automation,Series A,Bengaluru,LoadShare is India’s fastest growing logistics company
36,125833765.19765574,2018,2015,Yumlane,Food and Beverage,Series A,Mumbai,Food startup Yumlane operated by QwikPik Technology
37,125833765.19765574,2018,2015,Kriger Campus,Education,Seed,New Delhi,A Education Start Up.
38,125833765.19765574,2018,2015,Pipa+Bella,E-Commerce,Series A,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends
39,125833765.19765574,2018,2015,Kaleidofin,Financial Services,Seed,Chennai,A fintech platform.
40,125833765.19765574,2018,2015,Chakr Innovation,Renewable Energy,Seed,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.
41,125833765.19765574,2018,2015,IndigoLearn,E-Learning,Seed,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.
42,125833765.19765574,2018,2015,UClean,Clean Energy,Seed,India,UClean is a tech enabled laundry service provider.
43,125833765.19765574,2018,2015,Coutloot,E-Commerce,Seed,Mumbai,The Fashion Re-commerce platform.
44,125833765.19765574,2018,2015,Letstrack,Apps,Seed,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India."
45,125833765.19765574,2018,2015,Pooltoo,Transportation,Seed,New Delhi,Pooltoo offers a premium ride sharing platform.
46,125833765.19765574,2018,2015,Finzy,Financial Services,Seed,Bangalore,finzy is the premier peer to peer lending solution in India.
47,125833765.19765574,2018,2015,Fitternity,Fitness,Seed,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey
48,125833765.19765574,2018,2015,Keito,Artificial Intelligence,Seed,Pune,Building an Intelligent Digital Assistant.
49,125833765.19765574,2018,2015,Tolet for Students,Hospitality,Seed,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education."
50,125833765.19765574,2018,2015,Chai Kings,Food and Beverage,Seed,Chennai,Chai Kings is a tea retail chain
51,125833765.19765574,2018,2015,Dainik Jagran,Media and Entertainment,Seed,Kanpur,Dainik Jagran is a media and communications group.
52,125833765.19765574,2018,2015,Playtoome,Broadcasting,Seed,Bengaluru,Playtoome is a live entertainment destination
53,125833765.19765574,2018,2015,ONGO Framework,B2B,Angel,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.
54,125833765.19765574,2018,2015,Notesgen,EdTech,Seed,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.
55,125833765.19765574,2018,2015,Arogya MedTech,Health Care,Seed,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.
56,125833765.19765574,2018,2015,Propshop24,E-Commerce,Seed,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world."
57,125833765.19765574,2018,2015,myUpchar,Health Care,Series A,New Delhi,To bring health issues to people in their language.
58,125833765.19765574,2018,2015,MissMalini Entertainment,—,Seed,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians."
59,125833765.19765574,2018,2015,Rooter,Sports,Seed,India,Rooter is a mobile-based platform
60,125833765.19765574,2018,2015,ZestMoney,Big Data,Series A,Bangalore,Zest is India's first completely automated consumer digital lending platform.
61,125833765.19765574,2018,2015,alphaics Corporation,Cloud Computing,Seed,Bengaluru,Advancing AI compute
62,125833765.19765574,2018,2015,MyDentistChoice,Health Care,Seed,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers
63,125833765.19765574,2018,2015,Sattviko,Food Processing,Angel,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!
64,125833765.19765574,2018,2015,Sensibull,Trading Platform,Seed,Bangalore,Investment Management Platform
65,125833765.19765574,2018,2015,Bombay Shaving Company,Consumer Goods,Series A,New Delhi,Bombay Shaving Company is a Men's grooming startup
66,125833765.19765574,2018,2015,MedCords,Wellness,Seed,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier
67,125833765.19765574,2018,2015,University Living,Education,Seed,New Delhi,University Living is an online global student housing marketplace.
68,125833765.19765574,2018,2015,&ME,Food and Beverage,Seed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.
69,125833765.19765574,2018,2015,Enakshi,Fashion,Seed,Ahmedabad,Enakshi is an online apparel brand for women.
70,125833765.19765574,2018,2015,Ultraviolette Automotive,Automotive,Series A,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.
71,125833765.19765574,2018,2015,Inthree Access,Consulting,Series A,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.
72,125833765.19765574,2018,2015,BUGWORKS Research India,Biotechnology,Series A,Bangalore,BUGWORKS is a drug discovery company.
73,125833765.19765574,2018,2015,Guardian.in,Health Care,Seed,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company
74,125833765.19765574,2018,2015,PrestLoans,Credit,Seed,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans."
75,125833765.19765574,2018,2015,Wimoxez,Internet,Seed,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow."
76,125833765.19765574,2018,2015,India Accelerator,Communities,Angel,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.
77,125833765.19765574,2018,2015,HappyEMI,Consumer,Seed,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online
78,125833765.19765574,2018,2015,Wishup,Consumer Applications,Seed,Azadpur,Premium Personal Assistance service
79,125833765.19765574,2018,2015,Hansel.io,Mobile,Series A,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences."
80,125833765.19765574,2018,2015,Propelld,Education,Seed,Bengaluru,Propelld is a student education financing platform.
81,125833765.19765574,2018,2015,PivotRoots,Advertising,Series A,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking
82,125833765.19765574,2018,2015,ZiffyHomes,Marketplace,Seed,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.
83,125833765.19765574,2018,2015,Carmesi,Health Care,Seed,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.
84,125833765.19765574,2018,2015,OckyPocky,E-Learning,Angel,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.
85,125833765.19765574,2018,2015,Racetrack,Artificial Intelligence,Seed,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors."
86,125833765.19765574,2018,2015,WHR,Health Care,Seed,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible."
87,125833765.19765574,2018,2015,Asteria Aerospace,Aerospace,Seed,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.
88,125833765.19765574,2018,2015,FabAlley,E-Commerce,Series B,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar"
89,125833765.19765574,2018,2015,Tranzmeo,Artificial Intelligence,Pre-Seed,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.
90,125833765.19765574,2018,2015,SBI Life,Insurance,Private Equity,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.
91,125833765.19765574,2018,2015,Studds Accessories,E-Commerce,Private Equity,Faridabad,Studds Accessories is a scooter accessories service provider in India
92,125833765.19765574,2018,2015,Design Cafe,Home Decor,Series B,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget."
93,125833765.19765574,2018,2015,NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions"
94,125833765.19765574,2018,2015,Rays Power Infra,Energy,Venture - Series Unknown,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.
95,125833765.19765574,2018,2015,AuthMetrik,B2B,Grant,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection"
96,125833765.19765574,2018,2015,Khidki,Artificial Intelligence,Seed,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions
97,125833765.19765574,2018,2015,LetsTransport,Logistics,Series B,Bangalore,Lets transport is a logistics solution provider.
98,125833765.19765574,2018,2015,Next Digital Solutions,Digital Marketing,Angel,Kota,Next Digital Solutions is website design & Digital Marketing development company.
99,125833765.19765574,2018,2015,Portea Medical,Health Care,Debt Financing,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.
100,125833765.19765574,2018,2015,Aavas Financiers,Finance,Post-IPO Debt,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market."
101,125833765.19765574,2018,2015,Swiggy,Food Delivery,Series H,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.
102,125833765.19765574,2018,2015,Milkbasket,E-Commerce,Series A,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge."
103,125833765.19765574,2018,2015,Nutrisattva (Proliva),Fitness,Angel,Anand,Nutrisattva is a protein innovation compan
104,125833765.19765574,2018,2015,Toppr,EdTech,Series C,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.
105,125833765.19765574,2018,2015,Jagaran Microfin,—,Debt Financing,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial
106,125833765.19765574,2018,2015,Vivriti Capital,Financial Services,Venture - Series Unknown,Chennai,Vivriti Capital is an online platform for institutional debt in India.
107,125833765.19765574,2018,2015,Be U Salons,Apps,Seed,New Delhi,Be U is India's first subscription based Salon Chain.
108,125833765.19765574,2018,2015,Impact Guru,Creative Agency,Series A,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals."
109,125833765.19765574,2018,2015,MobiKwik,Consumer Lending,Series E,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India
110,125833765.19765574,2018,2015,Stones2Milestones,E-Learning,Seed,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.
111,125833765.19765574,2018,2015,Generico,Health Care,Series A,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.
112,125833765.19765574,2018,2015,Adiuvo Diagnostics,Health Diagnostics,Seed,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.
113,125833765.19765574,2018,2015,DataTrained,EdTech,Seed,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science"
114,125833765.19765574,2018,2015,OneAssist,Financial Services,Debt Financing,Mumbai,OneAssist is a protection & assistance services platform.
115,125833765.19765574,2018,2015,Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.
116,125833765.19765574,2018,2015,APAC Financial Services,Finance,Private Equity,Mumbai,APAC Financial Services is a financial services platform.
117,125833765.19765574,2018,2015,Moglix,B2B,Series C,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment."
118,125833765.19765574,2018,2015,SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.
119,125833765.19765574,2018,2015,MadGuy Labs,E-Learning,Venture - Series Unknown,Hyderabad,MadGuy Labs is a Online Test-prep Platform.
120,125833765.19765574,2018,2015,Dee Dee Labs,Embedded Systems,Seed,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.
121,125833765.19765574,2018,2015,FLEECA,—,Seed,Jaipur,FLEECA is a Tyre Care Provider company.
122,125833765.19765574,2018,2015,Shop101,Apps,Series B,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.
123,125833765.19765574,2018,2015,FeedMyPockets,Advertising,Seed,Bangalore City,On Demand Staffing Platform
124,125833765.19765574,2018,2015,Housejoy,Beauty,Series B,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.
125,125833765.19765574,2018,2015,Ambee,Health Care,Angel,Bangalore,Ambee is an Environment analytics startup.
126,125833765.19765574,2018,2015,FoodBuddy,Food Delivery,Seed,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery."
127,125833765.19765574,2018,2015,Ninjacart,AgTech,Series B,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.
128,125833765.19765574,2018,2015,Olly Smart Credit Card,Credit Cards,Seed,New Delhi,Olly is a digital credit card for India's working masses and young people.
129,125833765.19765574,2018,2015,Zestl,Software,Seed,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in."
130,125833765.19765574,2018,2015,BYJU’S,EdTech,Private Equity,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.
131,125833765.19765574,2018,2015,Wakefit,Manufacturing,Venture - Series Unknown,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.
132,125833765.19765574,2018,2015,Hero Electric,Manufacturing,Venture - Series Unknown,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry."
133,125833765.19765574,2018,2015,Pentation Analytics,Information Services,Seed,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite
134,125833765.19765574,2018,2015,PerkFinance,Consumer Lending,Seed,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company
135,125833765.19765574,2018,2015,Roposo,Internet,Series C,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.
136,125833765.19765574,2018,2015,Plum Goodness,Beauty,Series A,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair
137,125833765.19765574,2018,2015,Drstore,Hospital,Seed,Mumbai,Drstore is a exclusive e- commerce platform.
138,125833765.19765574,2018,2015,Wow Venue,Events,Venture - Series Unknown,Mumbai,Wow Venue is an online platform.
139,125833765.19765574,2018,2015,Chizel,3D Printing,Seed,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining
140,125833765.19765574,2018,2015,OTO Capital,Automotive,Seed,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.
141,125833765.19765574,2018,2015,Boodmo,Automotive,Seed,Gurgaon,boodmo.com - large online marketplace for auto parts in India.
142,125833765.19765574,2018,2015,Khabri,Apps,Seed,Haryana,Khabri is a digital audio platform for content in vernacular.
143,125833765.19765574,2018,2015,MyNewCar.in,Automotive,Venture - Series Unknown,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive
144,125833765.19765574,2018,2015,HalaPlay Technologies,Digital Entertainment,Series A,Bangalore,A daily fantasy sports platform.
145,125833765.19765574,2018,2015,PlanetSpark,E-Learning,Seed,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.
146,125833765.19765574,2018,2015,WheelsEMI,—,Series B,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd."
147,125833765.19765574,2018,2015,Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab."
148,125833765.19765574,2018,2015,OYO,Hospitality,Series E,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.
149,125833765.19765574,2018,2015,Quikr,Classifieds,Debt Financing,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India."
150,125833765.19765574,2018,2015,Tabono,Sports,Seed,Gurgaon,Tabono is a one stop environment for all your fitness solution.
151,125833765.19765574,2018,2015,LearnApp,Banking,Seed,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance."
152,125833765.19765574,2018,2015,Shopkirana,E-Commerce,Venture - Series Unknown,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.
153,125833765.19765574,2018,2015,Fric Bergen,—,Venture - Series Unknown,Alwar,Fric Bergen is a leader in the specialty food industry.
154,125833765.19765574,2018,2015,Articbot,Artificial Intelligence,Grant,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation
155,125833765.19765574,2018,2015,BuildSupply,Enterprise Resource Planning (ERP),Series A,Gurgaon,India’s most advanced ERP system for the real estate
156,125833765.19765574,2018,2015,Fusion Microfinance,Banking,Series E,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI
157,125833765.19765574,2018,2015,Any time Doctor,Software,Angel,Chennai,Anytime Doctor is a Software company.
158,125833765.19765574,2018,2015,Go Payments,Information Services,Corporate Round,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.
159,125833765.19765574,2018,2015,Guiddoo World,Audio,Seed,Mumbai,We build In-Destination Experiences!
160,125833765.19765574,2018,2015,ION Energy,Energy,Venture - Series Unknown,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.
161,125833765.19765574,2018,2015,UnoTag,Artificial Intelligence,Pre-Seed,Bangalore,SaaS to verify counterfeit
162,125833765.19765574,2018,2015,CivilCops,Government,Pre-Seed,Gurgaon,Gov-Tech
163,125833765.19765574,2018,2015,Rockmetric,Information Technology,Grant,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement."
164,125833765.19765574,2018,2015,Classworks India,Education,Undisclosed,Chennai,"Saas, Web App, Mobile App, School Education"
165,125833765.19765574,2018,2015,Snapmint,Consumer Lending,Seed,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card."
166,125833765.19765574,2018,2015,artbandhu,Digital Media,Pre-Seed,Bangalore,Ai platform for Art and Creative Community
167,125833765.19765574,2018,2015,Survaider,Business Intelligence,Seed,Bengaluru,Stethoscope for customer feedback !
168,125833765.19765574,2018,2015,Credy,Credit,Seed,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.
169,125833765.19765574,2018,2015,iChamp,E-Learning,Seed,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.
170,125833765.19765574,2018,2015,Qandle,Software,Seed,Gurgaon,A cloud-based HR management and employee engagement platform.
171,125833765.19765574,2018,2015,Avishkaar Box,Children,Seed,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution"
172,125833765.19765574,2018,2015,Gegadyne Energy,Automotive,Angel,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.
173,125833765.19765574,2018,2015,HyperXchange,E-Commerce,Series A,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets
174,125833765.19765574,2018,2015,Deftouch,—,Seed,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.
175,125833765.19765574,2018,2015,Doodhwala,Food Delivery,Seed,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.
176,125833765.19765574,2018,2015,DronaHQ,Mobile,Angel,Mumbai,DronaHQ is an enterprise mobile engagement platform.
177,125833765.19765574,2018,2015,FastFox,Rental,Series A,Gurgaon,FastFox: Market Network for Home Rentals (India)
178,125833765.19765574,2018,2015,BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.
179,125833765.19765574,2018,2015,Colive.in,Consumer,Seed,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.
180,125833765.19765574,2018,2015,Agricxlab Private Limited,B2B,Seed,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers
181,125833765.19765574,2018,2015,Corefactors,—,Seed,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company."
182,125833765.19765574,2018,2015,Fincash.com,Wealth Management,Seed,Mumbai,A startup in the personal finance space in India .
183,125833765.19765574,2018,2015,Pandorum Technologies,Biotechnology,Series A,Bengaluru,Bengaluru based biotech startup.
184,125833765.19765574,2018,2015,Shirsa Labs,Education,Seed,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.
185,125833765.19765574,2018,2015,PetSutra,Veterinary,Seed,Gurgaon,Gurugram-based Online petcare platform.
186,125833765.19765574,2018,2015,Awaaz De,Internet,Angel,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.
187,125833765.19765574,2018,2015,PinkBlue,Health Care,Seed,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies
188,125833765.19765574,2018,2015,Eduvanz,Finance,Angel,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market."
189,125833765.19765574,2018,2015,Rupeek,Financial Services,Series A,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.
190,125833765.19765574,2018,2015,Backpacker Panda Holidays Private Limited,Tourism,Series A,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.
191,125833765.19765574,2018,2015,Shape (School Health and Physical Education),Education,Seed,Pune,Physical education start up
192,125833765.19765574,2018,2015,Placio,Hospitality,Seed,Noida,Placio is a student housing and a complete broker-free platform.
193,125833765.19765574,2018,2015,Aviom India Housing Finance,Finance,Series A,New Delhi,Delhi based housing finance company.
194,125833765.19765574,2018,2015,GenRobotic,Market Research,Seed,Trivandrum,A Robotic Company.
195,125833765.19765574,2018,2015,HeyHolidays,Tourism,Seed,Bangalore,"HeyHolidays, a global player in online vacation rentals."
196,125833765.19765574,2018,2015,Pratilipi,Digital Media,Series A,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages
197,125833765.19765574,2018,2015,SectorQube,Consumer Electronics,Seed,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.
198,125833765.19765574,2018,2015,Food Memories,Food and Beverage,Seed,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.
199,125833765.19765574,2018,2015,ZAMROO,Internet,Seed,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.
200,125833765.19765574,2018,2015,Silversparro Technologies Pvt. Ltd,Analytics,Seed,Gurgaon,Silversparro is a deep learning technology solution provider.
201,125833765.19765574,2018,2015,Creator’s Gurukul,Facilities Support Services,Angel,Gurgaon,A coworking space provider.
202,125833765.19765574,2018,2015,Emflux Motors,Automotive,Seed,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.
203,125833765.19765574,2018,2015,Tricog Health Services Pvt Ltd,Health Care,Series A,Bangalore,Predictive Healthcare Analytics Company
